Date	Player	Character	Topic	
8/22/2022	max isaacson	Be'or	we are looking for all of the details we can find about ctirad (oblivion)'s death	From the talk and notes you can find around the religious communities of Port Frey, Ctirad's death in the spring of 10r has been strongly associated with the so-called "God Killing Force" that Priestess Itzel's later writings identify more specifically as the overabundance and spread of entropy in the universe
8/22/2022	summer latimer	Sephelia	what stories and information can be found with regards to artifacts that relate to the old ways god Bear?	Requires: Native Lore: Vein and Lore: Old Ways
8/22/2022	Adam	Claude	history of cinnorast, who and what race is he (human? dragon?), current and past events	also called "The Hammer", "the Burning Touch", "The God Killer". Cinnorast was once a godly smith of great renown who loved craft and metal. When the other gods came to him for weapons of war to wage violence against other gods, he refused to take part in their violence and refused to craft weapons. Frustrated with his refusal, others crippled his hands so he could not work, and separated his soul from his body, then shoved his soul into a hammer which could be used to forge weapons capable of killing gods. While separated from his body, the body can do nothing, while the Hammer can be wielded to cause great destruction as a weapon of war himself - and has given a front row seat to the violence and death of gods. It is known that Cinnorast was used to severely wound Haelo, and kill Brynioch. Cinnorast is son of Nero and Cri, the brother of Eon and Daece, and the father to Kesa and Riel. In the Celestine Tradition he has only ever been depicted or known as a hammer, and his history is talked about as if he once had the form of a man.
8/22/2022	Summer	Sephelia	INFL: styx	Styx is sometimes referred to by other names such as "The Blood Fae", "The Lady of Whispers", and "The Lady of Pain". Imagery and visions associated with her are often presented a fae-esque female with red eyes and long nails, though she is generally believed to be a Greater Demon. On the continent of Southern Breach, the largest body of fresh water is called Lake Styx. The water is magically influenced by the Lady of Pain, and it causes agonizing pain to those who consume it or consume crops that have grown from it.
8/22/2022	Summer	Sephelia	INFL: brynioch	Brynioch is known as one of the dead/lost gods, and was formerly the patron god of Antioc and its soldiers. In imagery, Brynioch is presented as a human-looking man clad in golden armor. In the Celestine tradition, he's the child of Aer and Eliena, and the brother to Aisthes and Onorie, though he was never worshipped by the Celestine Church. He is known to have been killed by "Cinnorast" the hammer, wielded by (name has been smudged out and seemingly purposefully redacted from any source you can find on the topic).
Sept 22	Summer	Sephelia	Influence: Investigate History. Any and all information about Phoenix	Phoenix holds a unique position among the gods - known as a high-god, one of the progenitors to whom no known or theorirized parentage exists. Often they are classified among the Titans, yet they are wholy unique. Sometimes called Chaos Phoenix, there is some discussion that they were created out of Chaos, spun by the threads of Destiny to give order to the seasons, but there is no substantial evidence to this in any regard. They are called the "Guardian of Seasons" the being who guides the year through it's revolution, or "the Fire Bird", but other names attributed to them paint a darker picture - "The Beautiful Death" and "She who is cursed to Return". Whether they are depicted in the form of a phoenix itself, or a painfully beautiful woman with spiked jewelry and pointed ears, there is one who calls upon her in their greatest time of need - those who martyr themselves. It is rumored that those who call upon her in their moment of martyrdom will find salvation in her ashes, to be reborn anew. This information is found in a general book about journal about dragons, not merely gods, and scribbled in the margins in an unknown handwriting is a single word - "Ackeroniell"
Sept 22	Summer	Sephelia	Influence: Investigate History. Any and all information about Kesa	It is Riel once had a sister known by this name. The child of Cinorast and Eur. Her fate is unknown and she is not currently worshipped by any faiths.
Sept 22	Summer	Sephelia	Influence: Investigate History. any infor about the children of the Titans	Haelo, the First Born, son of Tempest and Cri. Aer, the younger brother, child of Tempest and Cri. Esparei, child of Tempest and Eur. Daece and Eon, twins, younger brother is Cinnorast, children of Nero and Cri. Mentor, child of Nero and Eur.
Sept 22	Randle	Cal	Influence: Background Research and Investigate History. The Iron Chalice.	The iron chalice as with all chalice orders, was founded out of a previous knightly order that existed. In this case the brotherhood of Leucraven. They were based out of Antioc up until the era of the crusades when the mists fell across tear. Their speciality was in hunting fae but they were adapt at hunting greater demons and handling dangerous artifacts. The vault of the iron chalice is legendary in its defenses and is well hidden behind multiple layers of magic including warding and dream.
Sept 22	Clara	Tamsin	Influence x4 - battleship.	info about Olya from Rex, letter from Gwendolyn of the Iron Chalice (leads to the anchor sidecar where the players have to use the Iron Chalice rune to control Olya to save her and keep her off the field of the clocktower)
Sept 22	Emmett	shroud	Is there a copy of or any mention of the blood ritual that Leucraven and Circe Delfestrae subjected the Brotherhood to at the creation of the group in Ambroisus' journal?	No
Sept 22	Devin	Mio Hart	Could many faiths cast the curse of frailty on Leucraven simultaneously to cut off Leucraven's connection to Eden?	Theoretically, yes. Though you may run into unattended side-effects given that Leucraven is the chosen one of a very powerful god.
Sept 22	Frankie	Akira Han	are there similarities between the seal of Quetxolo and the coin of the damned?	The similarities between these two objects start and end that they have been connected to divine entities and that they have been touched by blood. Beyond that all similarities are circumstantial.
Sept 22	Sara	Sunna	theories on how the clocktower connect to the world tree?	When the world tree was damaged the clocktower was built to serve the same function as the world tree, to keep the ages turning.
Sept 22	Bay	Matthais	information on the guardians of the world tree - who they worship. how they protect it. what they value that we could provide	The protectors of the World tree are a lost order of paladins dedicated to the forgotten gods that gave their lives to save the world tree when it was on the brink of destruction. As for what they value, they are in need of nothing since their goal is to care for the tree.
Sept 22	Kyle	Kaelan	relighting the flame of the white stag from Great Altar game	The blessings given during the building of the great altar were only temporary gifts given to those chosen to carry the flames of their god. This flame was also used to reconnect the great altar to the gods after the great silence. It is not something that can be turned back on. It is something the gods must do and is only a physical reminder of what gift the candle bore before.
Sept 22	James	Khan Barkhan	Wolf - recent events have been of significance? historical figures of significance? specific/unique worship practices?	Wolf is always connected to Thete throughout history.In recent history when Thete was imprisoned by Deroan, Wolf was responsible for prayers. Wolf was at Thete's side the moment the imprisonment ended. Historically Wolf was known to look after Fox's followers as Fox was like a little brother to Wolf. It is rare for a follower of Wolf to worship alone they are almost always found in packs. GET BACK TO THIS
Sept 22	Emily Frank	Sorcha	sketchy/underworld ties of Siton	The spider has always been a symbol associated with underworld elements and backroom deals, along with luring unsuspecting people into their webs. From groups such as the Dancing Spiders who have a world-wide network of informants, spies, and blackmarket occult items, to the Widowers of Dace, the references are wide spread and varied, though unclear as to whether or not they are connected to Siton as a god, or just more the symbol of the spider and imagery that is derived from her oldest worship practices. Like the symbol of the owl is respected for intelligence and knowledge across the world even in non-Old Ways cultures, the spider is much the same in it's broad symbolism.
Sept 22	Brandon	Cassius	the nature of Vojin's departure, why, what he was trying to accomplish, where the fuck is he?	Note: This is information best gathered through influence spends related to investigation. Historically he departed the Nadine empire in the age of Tane. And only reappeared for the crusades but has otherwise not been seen or heard from since.
Sept 22	Chris Mumford	Cadoc	how to extract Cinnorast from the hammer?	Note: the last time a god was removed from an item it was inside of it took 50 research actions and the god died.
Sept 22	Catherine	Oweneyg	where or how could we find more dragon bones?	This is better spent as an influence action because it is related to the current state of things. Typically finding dragon bones has to do with finding a dead dragon or killing a living one to get its bones.
11/22/2022	Summer	Sephelia	what are the steps we need to take to ensure that the followers of Chorus (past/present/future) will have a death realm where they can find peace and rest?	Without a death realm or a death god who has enough power to claim the souls of the faithful to Chorus, all unmarked souls will go to Eden's realm. To establish a death realm, theoretically, since it has never been done you would need a death god with enough power to challenge Eden and carve out a space of their own in the death realms where the faithful they have claimed can go. Given that this was the outcome for Diana's *seventh* wish, you suspect it would take quite a bit of power from a not insignificant god to survive this fight.
11/22/2022	Nick Lippert	Gaultan	cure/prevention of swamp crotch, has alchemy and lore: disease, nadine	Swamp crotch is an infection that’s caused by a fungus. It's a form of ringworm that likes to live in warm, moist places on your body. Early symptoms of swamp crotch are itching and burning in the groin region, that progresses to a red, scaly, circular rash with raised edges and inflammation. Treatment is typically a salve made by an alchemist of any rank, and comprised of: sedative, rejuvenation, purification.
11/22/2022	James	Khan Barkhan	Snake - worship practices, historical figures/events	NOTE: any written information regarding Snake continues to count him in the pantheon as these sources are often written by civilized academics from the outside. However, within Old Ways cultures, Snake was long-ago cast out from the faith due to his utter betrayal of the pantheon. In watching the rising of new gods and faiths, he learned from the pettiness and infighting of the Celestine gods that by killing another god he can become more powerful. And thus, he killed Fox. Still, among Old Ways cultures, cults of Snake can be found among smaller tribes and clans, often considered heretical or darker-focused groups like the Snake Tribe of the Coatl on Tear or the Banner of the Red Snake of the Gael, and common worship practices circle often around the gifts that Snake provided to humanity. Known as The Cunning Liar, using one's words to twist the truth in a way to benefit the worshipper is the lesson he taught humanity in the beginning, but his betrayal gave Humanity the lesson of selfish ambition, to always seek power for oneself. As with all Old Ways gods, using their gifts is always the most effective form of worship. In 7ar, with the waking of the Old Ways gods, Snake was called back to the Pantheon by the Returned, though it is unclear if he has returned with the forgiveness of the gods for his past actions.
11/22/2022	Summer	Sephelia	Investigate History: Owl	The Owl is deeply tied and connected with nearly every culture on Adelrune as a symbol of wisdom and intelligence. The form the owl takes is localized by region, but the symbolism of the owl representing wisdom and information gathering organizations is as present in the Celestine Empire as it is for the Saek, as it is for the Vicaul. There are rumors of a destroyed information network called the Parliament of Owls in the Nadine Empire, as well as the snow white Owl. god of the Old Ways who is said to scratch at the eyes of his followers with sharp talons, blinding them until they see the guidance he is giving them. Traditionally, the owls represent wisdom in that they are able to take in a lot of information and forget that which is irrelevent, only keeping what is important.
11/22/2022	Summer	Sephelia	Investigate History: "the Lady of Darkness"	as you begin this investigation, you quickly get the sense that you are being watched/followed. the only real lead you find links her to the founder of Ad Decimum, Belisarius, as someone he greatly fears. before your research can go any further, an assination attempt is made on your life. it doesn't succeed, they stabbed you near the healer's guild where they knew you would be found, but you suspect it was a purposeful choice - like this was a warning, rather than a serious attempt.
11/22/2022	Summer	Sephelia	Investigate History: "emperor of the gods" and his court	as you reach out to scholars to inquire about the "emperor of the gods", you seemingly find few sources that are willing to speak with you about such things. your search leads you to a quieter part of town to speak with a particular source of information who is willing to speak with you, but as you approach his home, a crowd of peasants push past you murmuring "Praise Chorus!" amongst themselves. reaching his home, you find the source stabbed to death with dozens of wounds, and unable to be resusitated.
11/22/2022	Margarest Dost	Idril	Political Insight: Antioc leadership (Delfestrae)	Before the Mists fell, there was a small diplomatic envoy of Delfestrae (approximately 5) who traveled to Antioc with the aim to come to some sort of formalized peace agreement in the aftermath of Towerfall. These five, led by Taegan Armelian (a known ally of Perillinen Siili Sininen), were then stranded in Antioc when the Mists rolled in. During their time in Antioc, they have found themselves in favored positions, with Taegan acting as Viceroy Paxima's right hand, and being given the rank of Legatus. Being allied with Sininen, this envoy was chosen for their pragmatism and finding the best outcome for Delfestrae. From the outside, however, it's hard to tell what their current goals and progress may be, if they truly have joined the Nadine, or if they are merely surviving the Mists in the best way they know how.
11/22/2022	Margarest Dost	Idril	Eavesdrop: Baron Paxima	We will have logi refund you this cost, as getting servants into Antioc is not possible under the current conditions of the city
11/22/2022	Margarest Dost	Idril	Investigate Rumors: Nadine/Effendal children	From the rumors you heard from those who have visited Antioc since the Mists, there are a handful of young children in the city. There are very few, and only a couple seemed to have had elongated ears on quick glance. However, it is unclear if they were born between unions of the visiting Delfestrae envoy and Nadine, or if there are some within the Nadine ranks who had Effendal blood.
11/22/2022	Moira Denton	Domni	Investigate Rumors: Tabitha Terminatus	Rumor has it, since the departure of Princes Aeris and the Blood Lords from Tear, Tabitha seems to have relaxed significantly in the aftermath of the destruction of Antioc. This coincides with her recent absences from Court. Rumor has it, she has been receiving an exceptionally large amount of correspondence from the Nadine Empire since the lifting of the Mists. Rumor has it, Tabitha's ship was seen leaving port with a number of effendal on board, only to return a few short months later. Rumor has it, her ship appears to be being prepared for an upcoming long journey. Rumor has it, Tabitha's most recent lover has gone missing. Rumor has it, Tabitha cleared out Baron Paxima's home and office in Port Frey as soon as news reached her of the detruction of Antioc. Rumor has it, Tabitha may have taken a new lover, as a mysterious figure has been seen exiting and entering her home at odd hours of the night.
12/22/2023	Steven Pope	Duncan	What or who in the Dreaming could nullify Leucraven or similar entities and how can we appeal to them?	Whose-who questions like this are generally more approachable with influence spends or in-character roleplay, as written records about the Dreaming are very rare, and unreliable at best. Additionally, there is much debate about whether or not the Dreaming can interact with beings of Death or blessed by Death, such as Leucraven who is a favored Death Knight of Eden.
12/22/2023	Emmett Furey	Aesir	Can we find a ritual to trap an entity in another plane that has been done before (ie Leucraven)?	The Books of Verody tend to have these types of rituals in them. Of particular note, in the early days of the Returned there is notation that the Returned trapped Valdir in the Mists with a stake (currently held by Black Council/Moon Tribe) and a necklace that had belonged to his dead wife
11/22/2022	Eamon	Michel	cultural celestine wedding traditions & specific events or special requirements	Most Celestine weddings typically happen in the Spring, though that is not a hard and fast rule. In paricular for Nobles, they will happen at one of the greater temples rather than small town temples or someones' home. This is a way for the couples to go honor the gods and pay their respects to all of the gods. Blue Celestine Roses are the most frequently used flowers and are grown in greenhouses throughout the Empire specifically for spring blooms and used for weddings. Throughout the last Age, tradition has it that rather than a bachelor party, the groom must defeat any challengers in a duel. Note: These are rarely true challengers for her hand, typically it is members of the spouse's family or his friends who will make a challenge for the showmanship for it. However, even when mainly done for show, they will still try to win and will not throw the fight on their own honor. It is believed if you win these duels, the gods will bless the marriage. Note: Either member of the couple can fight the duel, it is not limited to the groom, many brides also take on the duel.
12/22/2023	Vani Lafey	Galatea	Ancient Hazori Sickle - can the effect be replicated? what region was it from? how old is this relic?	The Ancient Hazori sickle is from the Hazori lands near Riel. As there is no real way to carbon date an exact year, you can certainly tell this is from the Age of Tane, from sometime after the founding of Riel and before the fall of Riel. The effect can potentially be researched through blacksmithing but the exact effect would be difficult to replicate without Rielian blacksmiths.
12/22/2023	Trent Wasko	Clove	who was Saoirse Tackett? (161ch) - did she do anything significant in her time? what historical events were happening at this time?	Saoirse Tackett is one of the most renown members of House Tackett in recent centuries. She had one younger sister, Dahlia Tackett (Clove's mother), and left her home after her own husband and children died to a sickness just a few short years after her marriage. In the ensuing years, she was a good politician who ran royal messages, and served as a courier in the outlying villages and Houses, and assisted in evacuating during Vicaul raids. In 155ch, during the Bloody Landing, she could not save her brother-in-law during the evacuation, but was able to rescue the child he had been trying to protect - the young heir to House Tairgrid. It was not her goal in life to reclaim the good standing of House Tackett, but that day her bravery gained them the approval of House Tairgrid if they should continue to seek the path to remove the sable mark on the family. She was later executed during the War of Betrayal, the order given by the corrupt king who sought to silence her for knowing too much as the royal courier.
12/22/2023	Eamon Sheehy	Michel de Clavens	further research on Dacian & Celestine wedding traditions - particularly day-of traditions	Celestine weddings are heavily religious. For instance: the bride's bouquet gets distributed and broken up in offering to the different altars of the pantheon that she wants to recieve blessings from. Upon engagement (for nobility) a sculpture is comissioned to represent the union ("I will love you/commit to you until the stone is worn to sand"). For peasantry, they might carve their initials into a stone kept in their home, or upon a large boulder or fountain in the town square that is intended for this same purpose.  The sculptures remains in their home till they separate or die. The morning of the wedding, the sculpture will go with them to each of the shrines as they are blessed. The statue recieves the blessing and will remain in their home as a vessel of the blessings. 
12/22/2023	Adam McInnes	Claude	Eleina - any and all information about her	Eleina is the Painter also called the Volcano (for no particularly known reason). She is the child of Phoenix and Nero and is heavily associated with and popular in any of the Celestine offshoot nations (Dace and Eirie, and formerly Kotu and Theddespari). The most northern city in the Celestine Empire is named for her, near the Disputed Lands at Westwall. For all of this, however, she is one of the weaker gods of the pantheons, and as such is believed to be particularly at risk of being consumed by the entropy of the universe. Worship for her was once more abundant as the old churches were filled with paintings and frescos, but in more recent decades, sculpture and stained glass have grown to be more prominently displayed.  One particularly renown painter out of Dace, Bellisimo, is known to be a true devotee to the goddess and has sworn his life to painting and creating beauty in her name.
12/22/2023	James Medina	Khan Barkhan	Siton - historical events, specific/unique worship practices. historical figures of significance	Siton, called "The Spider" or the "Wicked Spider" is known among the Old Ways to be the god who taught humanity to fear - who gave them their fight or flight response, and who teaches them the toughest lessons through prophecy by showing them their own deepest fears and pressing them to overcome them. Siton is often called upon in times of trial and tribulation, when the Old Ways followers are in need of courage to press on through the darkness and fear they are experiencing, and often associated with the winter when darkness reigns over the lands in the north - especially for the Gael and Vicaul. In more recent years, during the Northern War, it was the Clan of the Night Spider who brought destruction to the Temple of Destiny, while rumor has it that at the same time, Siton used an avatar of herself to attack Destiny through the conduit of a Returned who was dedicated to the Celestine goddess. While Siton's avatar was ultimately repelled from the attack on the goddess, she was able to cause a deep and lasting wound on the other goddess before disengaging from the conflict. The Temple of Destiny was not so lucky - it was truly sacked, it's holy texts damaged, destroyed, or looted, and it's entire legion and handmaiden taken down in the conflict.
12/22/2023	Celia	Fiadh	Veyn - historical events, specific/unique worship practices, historical figures of significance (CESTRAL PERSPECTIVE)	Like Belaiesh, Veyn holds a position of reverence and fear among the Cestral who follow the Old Ways. Over the centuries, Cestral has fallen victim to many floods that are traditionally believed to be caused by Veyn, but as the Fresh Water he provides is necessary for life and farming, he is also worshipped more heavily for his favor than a destructive god like Balaiesh. Seasonal flooding among the lowlands is not uncommon in Cestral, so villages and towns have different traditions to gain his favor, but some of the more common ones are scrificing the first fishing haul of the year, and having Druids bless the low-laying cranberry fields before they release the dams they have built to control the flooding of the cranberry bogs for harvest. With clever irrigation techniques as well, the Cestral farmers honor the god of strategists to use his gift to their best advantage.
12/22/2023	Chris Montgomery	Kenrin	information on great wyrms - origins, last known appearances on Adelrune, powers, connections to planar cosmology, etc	Zegimmon - "The Sea Beast" - Eater of dreams - last known wearabouts: the Dreaming Kcelizex - "Lord of Slime" - Giant Slimy Scaled Worm - rumored to be in the Breach Xaganorix - "The Bloated Tyrant" - Bloated Scaled Worm with Wings, Eater of Fae Shselecs [ Antitaetesh ] - "The Spirit Wyrm" - Spectral Scaled Worm Glowing White, eater of souls - Bound to Eden's realm Rtkre - "The Festering One" / "The Eater of Worlds" - A Scaled Worm Covered in festering sours, eater of worlds - rumored to be imprisoned
12/22/2023	Hannah Butler	Galilea	can herbs with spiritual properties be used in the creation of Breath of Life, particularly as a replacement for Celestial blood	No. Any form of resurrection requires energy of pure life given for resurrection. In certain cases (like Breath of Life), Celestial blood can be substituted as Celestials themselves contain a potent energy capable of fulfilling this requirement due to their pure nature and intrinsic ability to resurrect the recently deceased.
12/22/2023	summer	sephelia	looking for all information I can find on Loremaster Gaetan, his book collections, and the books he retrieved from sistinas fortress	Loremaster Gaetan was born in 131ch, and is known to have worked out of Alexander in Cestral in the latter half of the Age of Chorus under the guidance of a Celestine scholar, Walworth, frequently running errands for him in his early years. In academic circles he is reknowned for rescuing banned books and such objects that were censored by the Church of Chorus, however he continually denied such actions when questioned. After making a name for himself as a troublemaker and nusiance in the Amalgamation, Celestine Empire, and just about every city on the Expanse, his later life was spent at Alexander and assisting the Crown in Cestral as an advisor. Note: Any books he stole from various nations are likely to still be held at Alexander, with their origins denied/not recorded. However, such books are likely held under the protection of the Loremasters Guild in Special Collections, and their current status is currently unknown given the events of the War of Radiance. At the exceptional age of 77 years old, he died in the Battle of Alexander in 8ar, at Ser Aislynn's side as they held a collapsing wall long enough the last survivors to find safety from the approaching demon horde.
12/22/2023	Frankie	Akria	INFLUENCE: INVESTIGATE HISTORY: history of the brotherhood in relation to creating the coins of the damned	The Coins of the Damned are ancient Theddespari coins that were splashed in Leucraven's blood.
12/22/2023	Cameron	Kiesh	INFLUENCE: INVESTIGATE RUMORS: local church of Chorus	Rumors are that the Port Frey Church of Chorus is rebelling against the teachings of the church and some members are known to be speaking of false gods. Another rumor is that the high priest is dabling in dark magics. An additional rumor is that Pious Justineous has abandoned the church and gone to found a new one. Another rumor is that Inquisitors are coming to Port Frey to purge blasphemous members of the church. Another rumor says that Chorus is not dead and that this is only a test of the faithful and if enough nonhumans are purged in his name, he will return.
12/22/2023	Cameron	Kiesh	INFLUENCE: UNDERWORLD INSIGHT: local church of Chorus	While the local Church of Chorus itself does not have known connections in the underworld, there have been questions and concerns related to individuals within the Church. Beginning with its Chroister who is known to have been a companion of Lord Bellus and many Dreamers, to some of its members having connections to Churchwood Brotherhood, as well as other various mercenary and gang connections on a lower level. It doesn't seem like they are acting on behalf of the church, but to have prominent members and leaders acting in underworld circles on their own basis raises general suspicion. The dark magic tome called Ig is known to be found frequently within the church, to the distrust of much of the local populace, and a number of prominent Dream Mages have been heard to speak of how the Church itself was used for illicit dream magic activities in relation to the Red Knightmare.
12/22/2023	Garrett	Byamba	INFLUENCE: STATE OF THE COURT - infrastructure of Port Frey to determine defences and status	Port Frey has earthen work walls that were hastily and quickly constructed over the swamp land the town rests on during the War of Radiance. Over time, these walls have been compacted down so they are not as high nor effective as they once were. Some areas have taken additional damages in recent wars such as the invasion of T'Tocs' forces and the Nadine Siege of Port Frey. Measures have been taken on multiple occassions to shore up the worst of these areas. NOTE: Belltower?
12/22/2023	Devin Hawke	Mio Hart	INFLUENCE: UNDERWORLD INSIGHT: the Broken Brick	The Broken Brick is an underground group of anarchists formed from members of the lower ranks of Thorn's Military. They are known for causing disruptions in day to day dealings and operations, and occasionally making a bigger point at ceremonial and military functions. They are unique to Castle Thorn as they are acting out against the various military houses and basic structure of Thorn. There are rumors that they are connected to the Nameless Faith but as most information of this group is shrouded in mystery it is impossibly to verify the validity of this situation. The best protection Thorn has against the actions of the Broken Brick is that they are lower ranked soldiers and thus don't have the influence or resources to cause a bigger situation that would undermine the integrity of Castle Thorn. But the superiors have no doubt that if a higher ranking arficer were to join their cause that the disruptions would be more dificult to deal with.
12/22/2023	Devin Hawke	Mio Hart	INFLUENCE: INVESTIGATE RUMORS: Broken Brick	Rumor has it they're connected to the Nameless Faith. Rumor has it they have a new leader that is rumored to be a captain in the Thorn military. Rumor has it they were funded by the same highly ranked foreign spy that worked incognito among the Thorns during the War of Radiance and was never caught. Rumor has it The Broken Break has infiltrated The Long Rest and is adding impurity to the bricks that form the outer walls of the castle. Rumor has it they were responsible for the death of the previous little bird.
12/22/2023	Mike Morales	Kenji	INFLUENCE: MILITARY INSIGHT: knights of the blood chalice, locations and leadership	Officially, the Knights of the Blood Chalice were destroyed and disbanded by the White Chalice during the purification. However, a well-guarded cultural secret within Mandala is that the order is still active and quietly monitoring blood mages, eliminating those who get too out of hand with their practices. Beyond the borders of Mandala, there are no active cells, only the ocassional knight or small squad moving out to do their work under the guise of a diplomatic mission for Mandala.
